year,Topic,rate,rank,Rubric
2014,topic_15,0.095438436,11.0,cennosti
2015,topic_15,17.8000421144,19.0,cennosti
2016,topic_15,68.04647323352009,19.0,cennosti
2017,topic_15,112.11321238970812,16.0,cennosti
2018,topic_15,270.44195558600006,1.0,cennosti
1999,topic_16,0.0,20.0,cennosti
2000,topic_16,1.329879445,9.0,cennosti
2001,topic_16,3.6984334289999996,6.0,cennosti
2002,topic_16,1.4088506225,10.0,cennosti
2003,topic_16,1.471184094,8.0,cennosti
2004,topic_16,2.96927016,6.0,cennosti
2005,topic_16,3.6601635847000002,9.0,cennosti
2006,topic_16,4.45662093,10.0,cennosti
2007,topic_16,6.9321831870000015,5.0,cennosti
2008,topic_16,6.219153622,6.0,cennosti
2009,topic_16,7.1706959490000015,5.0,cennosti
2010,topic_16,11.5092293487,1.0,cennosti
2011,topic_16,26.172659818,1.0,cennosti
2012,topic_16,17.7551223601,2.0,cennosti
2013,topic_16,0.6709459120000001,7.0,cennosti
2014,topic_16,0.279753615,7.0,cennosti
2015,topic_16,65.60289271349997,1.0,cennosti
2016,topic_16,259.40233749109984,1.0,cennosti
2017,topic_16,220.36660198550035,1.0,cennosti
2018,topic_16,59.15592308620002,4.0,cennosti
1999,topic_17,0.04748357,14.0,cennosti
2000,topic_17,1.5189127891,8.0,cennosti
2001,topic_17,2.866377660000001,8.0,cennosti
2002,topic_17,2.3655558001,8.0,cennosti
2003,topic_17,0.611217121,13.0,cennosti
2004,topic_17,0.33280573100000005,16.0,cennosti
2005,topic_17,2.5764756964999997,13.0,cennosti
2006,topic_17,3.5566405675,13.0,cennosti
2007,topic_17,2.337789214,10.0,cennosti
2008,topic_17,5.435665426,7.0,cennosti
2009,topic_17,3.0665728619999992,10.0,cennosti
2010,topic_17,3.5909566727000004,8.0,cennosti
2011,topic_17,4.222610979,7.0,cennosti
2012,topic_17,4.819908616899999,8.0,cennosti
2013,topic_17,0.051683426,15.0,cennosti
2014,topic_17,0.32088216,6.0,cennosti
2015,topic_17,28.247739174699994,13.0,cennosti
2016,topic_17,121.63547410208001,11.0,cennosti
2017,topic_17,129.7300228233999,11.0,cennosti
2018,topic_17,64.52423015219998,3.0,cennosti
1999,topic_18,0.25461504,12.0,cennosti
2000,topic_18,0.12682542900000002,20.0,cennosti
2001,topic_18,0.42985381400000006,17.0,cennosti
2002,topic_18,0.587468056,18.0,cennosti
2003,topic_18,0.2017757456,19.0,cennosti
2004,topic_18,0.6871876445,12.0,cennosti
2005,topic_18,1.4031219154999999,16.0,cennosti
2006,topic_18,1.4414533135,17.0,cennosti
2007,topic_18,2.1559990354,11.0,cennosti
2008,topic_18,3.5916697539999998,11.0,cennosti
2009,topic_18,2.3600075173999997,12.0,cennosti
2010,topic_18,1.6371999000999997,12.0,cennosti
2011,topic_18,3.354875195,11.0,cennosti
2012,topic_18,2.36563146703,16.0,cennosti
2013,topic_18,0.43361097,8.0,cennosti
2014,topic_18,0.0,20.0,cennosti
2015,topic_18,44.69808408379999,5.0,cennosti
2016,topic_18,147.71530151169998,5.0,cennosti
2017,topic_18,150.34338083939983,8.0,cennosti
2018,topic_18,28.869256972300015,11.0,cennosti
1999,topic_19,0.0,20.0,cennosti
2000,topic_19,1.219716219,11.0,cennosti
2001,topic_19,0.410260687,18.0,cennosti
2002,topic_19,0.6011084419999999,16.0,cennosti
2003,topic_19,1.189293836,9.0,cennosti
2004,topic_19,0.45969638999999995,14.0,cennosti
2005,topic_19,0.8171781505,17.0,cennosti
2006,topic_19,1.5219464552999997,16.0,cennosti
2007,topic_19,0.675006209,18.0,cennosti
2008,topic_19,0.410116877,20.0,cennosti
2009,topic_19,1.294443381,16.0,cennosti
2010,topic_19,1.3538085821999999,13.0,cennosti
2011,topic_19,2.169516454,14.0,cennosti
2012,topic_19,1.080450048,20.0,cennosti
2013,topic_19,0.0,20.0,cennosti
2014,topic_19,0.013145991000000001,13.0,cennosti
2015,topic_19,20.663942946700008,17.0,cennosti
2016,topic_19,75.9935389625,18.0,cennosti
2017,topic_19,87.02449264089998,19.0,cennosti
2018,topic_19,51.26214430900001,5.0,cennosti
1999,topic_0,26.94841370449999,6.0,economic
2000,topic_0,68.61337925079997,9.0,economic
2001,topic_0,65.60672966790001,12.0,economic
2002,topic_0,90.17698222846003,8.0,economic
2003,topic_0,39.169507384949995,11.0,economic
2004,topic_0,47.826109646779976,16.0,economic
2005,topic_0,93.02456699839007,13.0,economic
2006,topic_0,181.10291688244996,8.0,economic
2007,topic_0,148.52681173400987,13.0,economic
2008,topic_0,164.78562374952995,19.0,economic
2009,topic_0,179.98742672060064,17.0,economic
2010,topic_0,185.00849385829025,17.0,economic
2011,topic_0,158.4950944256301,17.0,economic
2012,topic_0,177.05015161663405,18.0,economic
2013,topic_0,219.86248416087815,16.0,economic
2014,topic_0,330.7723399877988,2.0,economic
2015,topic_0,230.51102733631012,7.0,economic
2016,topic_0,200.55728551412722,11.0,economic
2017,topic_0,204.6647510306797,8.0,economic
2018,topic_0,173.64591769103998,5.0,economic
1999,topic_1,35.73732983730001,4.0,economic
2000,topic_1,91.85964136457005,6.0,economic
2001,topic_1,120.3107434742001,6.0,economic
2002,topic_1,121.54021553601989,7.0,economic
2003,topic_1,113.48867867064001,1.0,economic
2004,topic_1,301.6376483502601,1.0,economic
2005,topic_1,234.942906396006,3.0,economic
2006,topic_1,214.04208519279993,6.0,economic
2007,topic_1,252.3653938191598,6.0,economic
2008,topic_1,284.5095213956181,12.0,economic
2009,topic_1,267.45223148990056,13.0,economic
2010,topic_1,235.5265549429405,12.0,economic
2011,topic_1,202.6234094880001,14.0,economic
2012,topic_1,242.7030743395699,13.0,economic
2013,topic_1,277.47296915993024,7.0,economic
2014,topic_1,174.4424029854077,13.0,economic
2015,topic_1,62.4190747298,15.0,economic
2016,topic_1,102.52570105949003,13.0,economic
2017,topic_1,129.83484964605802,13.0,economic
2018,topic_1,112.09367821079985,9.0,economic
1999,topic_2,16.011377274600008,8.0,economic
2000,topic_2,39.257000318500054,15.0,economic
2001,topic_2,63.99159410090003,13.0,economic
2002,topic_2,49.4000439443,15.0,economic
2003,topic_2,30.572511146000004,17.0,economic
2004,topic_2,37.23395037512998,19.0,economic
2005,topic_2,78.34359484589999,16.0,economic
2006,topic_2,133.14703816246993,11.0,economic
2007,topic_2,179.35117795114996,10.0,economic
2008,topic_2,321.34928211011993,8.0,economic
2009,topic_2,347.38427687579997,8.0,economic
2010,topic_2,293.5036628762299,7.0,economic
2011,topic_2,252.1978361611139,9.0,economic
2012,topic_2,290.10117995823015,9.0,economic
2013,topic_2,266.23452889855713,10.0,economic
2014,topic_2,225.33599281510007,11.0,economic
2015,topic_2,58.220656156399954,16.0,economic
2016,topic_2,45.68503158080002,17.0,economic
2017,topic_2,107.87789669797993,15.0,economic
2018,topic_2,125.83670776444994,7.0,economic
1999,topic_3,13.404874888287805,13.0,economic
2000,topic_3,36.44866972384001,16.0,economic
2001,topic_3,58.38852083059002,15.0,economic
2002,topic_3,42.6420563216,16.0,economic
2003,topic_3,35.52450869709998,12.0,economic
2004,topic_3,49.388396476350024,15.0,economic
2005,topic_3,88.06041401943492,14.0,economic
2006,topic_3,123.37696750216702,14.0,economic
2007,topic_3,126.64707152106999,16.0,economic
2008,topic_3,168.89933166189985,18.0,economic
2009,topic_3,182.16828965675992,16.0,economic
2010,topic_3,217.88171142324006,15.0,economic
2011,topic_3,186.8551074161201,16.0,economic
2012,topic_3,238.87793651971032,14.0,economic
2013,topic_3,274.2120046971399,8.0,economic
2014,topic_3,287.2960099682346,7.0,economic
2015,topic_3,122.70408205125011,12.0,economic
2016,topic_3,135.69221649092003,12.0,economic
2017,topic_3,178.72375518120003,9.0,economic
2018,topic_3,106.50579615498006,11.0,economic
1999,topic_4,36.85529753780001,3.0,economic
2000,topic_4,123.64261436998002,3.0,economic
2001,topic_4,116.94499023850001,7.0,economic
2002,topic_4,62.54426676897103,12.0,economic
2003,topic_4,33.8345318349,14.0,economic
2004,topic_4,64.31488852451,12.0,economic
2005,topic_4,118.25160778374526,11.0,economic
2006,topic_4,115.97161243438993,15.0,economic
2007,topic_4,135.606711625374,15.0,economic
2008,topic_4,370.78951443875496,5.0,economic
2009,topic_4,515.5835387239384,3.0,economic
2010,topic_4,227.74316835480406,13.0,economic
2011,topic_4,195.7381308011197,15.0,economic
2012,topic_4,203.9782149587659,17.0,economic
2013,topic_4,218.18144813556495,17.0,economic
2014,topic_4,181.67565201998016,12.0,economic
2015,topic_4,270.10276576323025,3.0,economic
2016,topic_4,218.490908461882,8.0,economic
2017,topic_4,172.2474434881601,10.0,economic
2018,topic_4,50.240971434323484,18.0,economic
1999,topic_5,6.8683221056,18.0,economic
2000,topic_5,22.338693281200012,20.0,economic
2001,topic_5,22.00260340660001,20.0,economic
2002,topic_5,16.697104830499995,20.0,economic
2003,topic_5,12.710988241199999,20.0,economic
2004,topic_5,27.54630482968001,20.0,economic
2005,topic_5,66.67162377725995,19.0,economic
2006,topic_5,75.73106928260002,19.0,economic
2007,topic_5,53.04913433393996,20.0,economic
2008,topic_5,146.27292174943986,20.0,economic
2009,topic_5,223.68084269676268,15.0,economic
2010,topic_5,130.63160000365,19.0,economic
2011,topic_5,72.16537423313,20.0,economic
2012,topic_5,96.90246681293014,20.0,economic
2013,topic_5,130.92740716947995,19.0,economic
2014,topic_5,286.2455452117898,8.0,economic
2015,topic_5,234.2111608110604,6.0,economic
2016,topic_5,227.19332878077023,7.0,economic
2017,topic_5,165.47914339245,11.0,economic
2018,topic_5,115.28571666550002,8.0,economic
1999,topic_6,11.650257968600002,14.0,economic
2000,topic_6,54.235001646999976,12.0,economic
2001,topic_6,50.16354451170005,17.0,economic
2002,topic_6,60.62916659112999,13.0,economic
2003,topic_6,33.09258227889997,16.0,economic
2004,topic_6,89.29452186031205,9.0,economic
2005,topic_6,77.70908040775996,17.0,economic
2006,topic_6,129.93790324386993,13.0,economic
2007,topic_6,201.61954377976005,9.0,economic
2008,topic_6,369.73836902748405,6.0,economic
2009,topic_6,374.18720581262954,7.0,economic
2010,topic_6,261.0632412665462,10.0,economic
2011,topic_6,226.69526108388993,12.0,economic
2012,topic_6,212.9364936479802,15.0,economic
2013,topic_6,274.18908886660756,9.0,economic
2014,topic_6,277.9256274465546,9.0,economic
2015,topic_6,245.56648710346988,4.0,economic
2016,topic_6,324.09185011816675,4.0,economic
2017,topic_6,351.09692625041987,2.0,economic
2018,topic_6,75.28345371176206,14.0,economic
1999,topic_7,10.3720615657,16.0,economic
2000,topic_7,50.61571364029998,13.0,economic
2001,topic_7,83.52458226088002,10.0,economic
2002,topic_7,80.71815780617794,9.0,economic
2003,topic_7,52.53522253516001,9.0,economic
2004,topic_7,72.76887451188003,11.0,economic
2005,topic_7,107.17728017242008,12.0,economic
2006,topic_7,107.61633627290001,16.0,economic
2007,topic_7,165.13465785615006,11.0,economic
2008,topic_7,242.37356389557735,14.0,economic
2009,topic_7,284.3796039285095,11.0,economic
2010,topic_7,182.6678405565851,18.0,economic
2011,topic_7,144.80552863497985,18.0,economic
2012,topic_7,204.2355272485997,16.0,economic
2013,topic_7,232.7599045194563,14.0,economic
2014,topic_7,128.19154522977993,17.0,economic
2015,topic_7,116.86409079965,13.0,economic
2016,topic_7,208.8534161085574,9.0,economic
2017,topic_7,288.3731285693597,4.0,economic
2018,topic_7,201.99101824041995,2.0,economic
1999,topic_8,26.641874478190026,7.0,economic
2000,topic_8,63.75777495509998,10.0,economic
2001,topic_8,110.98059988936991,8.0,economic
2002,topic_8,145.89524010400018,4.0,economic
2003,topic_8,73.86901775696998,6.0,economic
2004,topic_8,78.04191655365196,10.0,economic
2005,topic_8,125.0709653744199,9.0,economic
2006,topic_8,170.4721571265798,9.0,economic
2007,topic_8,333.81405494024995,3.0,economic
2008,topic_8,705.33362931197,2.0,economic
2009,topic_8,512.8193433983099,4.0,economic
2010,topic_8,307.0268011057601,5.0,economic
2011,topic_8,337.954680836565,4.0,economic
2012,topic_8,463.85349250583823,2.0,economic
2013,topic_8,331.56435597845564,5.0,economic
2014,topic_8,136.68164754870517,16.0,economic
2015,topic_8,45.539959557930025,17.0,economic
2016,topic_8,75.374864352908,16.0,economic
2017,topic_8,66.38377866876208,18.0,economic
2018,topic_8,59.164439016100054,16.0,economic
1999,topic_9,6.662978800534,20.0,economic
2000,topic_9,46.169774461500005,14.0,economic
2001,topic_9,65.72123823007001,11.0,economic
2002,topic_9,63.810396440189976,11.0,economic
2003,topic_9,50.80574220989602,10.0,economic
2004,topic_9,96.49494378470008,7.0,economic
2005,topic_9,157.61188029413995,7.0,economic
2006,topic_9,319.70797847845006,1.0,economic
2007,topic_9,432.6103164546495,2.0,economic
2008,topic_9,526.0686245899295,4.0,economic
2009,topic_9,412.8262540699694,6.0,economic
2010,topic_9,455.2116391757993,1.0,economic
2011,topic_9,491.28618876484893,1.0,economic
2012,topic_9,481.2275856539253,1.0,economic
2013,topic_9,409.4127753621792,1.0,economic
2014,topic_9,173.86445026671618,14.0,economic
2015,topic_9,35.724974220300005,19.0,economic
2016,topic_9,44.84503707675003,18.0,economic
2017,topic_9,53.392508879790064,20.0,economic
2018,topic_9,82.74951233381988,13.0,economic
1999,topic_10,35.01887550239999,5.0,economic
2000,topic_10,177.4774100421198,1.0,economic
2001,topic_10,165.54556103929997,3.0,economic
2002,topic_10,144.46951297235995,5.0,economic
2003,topic_10,92.64698155535496,3.0,economic
2004,topic_10,113.89090480347298,5.0,economic
2005,topic_10,271.86106973706995,2.0,economic
2006,topic_10,297.1235446757699,3.0,economic
2007,topic_10,283.10351202513,5.0,economic
2008,topic_10,308.4103433303738,10.0,economic
2009,topic_10,283.9609455388302,12.0,economic
2010,topic_10,296.9026691155797,6.0,economic
2011,topic_10,286.17763817592936,7.0,economic
2012,topic_10,375.23038948264025,4.0,economic
2013,topic_10,386.97058088244955,3.0,economic
2014,topic_10,331.0881470779419,1.0,economic
2015,topic_10,145.7702528930799,10.0,economic
2016,topic_10,202.58753181177616,10.0,economic
2017,topic_10,279.07538754592474,5.0,economic
2018,topic_10,223.70600701315973,1.0,economic
1999,topic_11,15.529599409999996,9.0,economic
2000,topic_11,82.06612765653999,7.0,economic
2001,topic_11,176.62659588942984,2.0,economic
2002,topic_11,152.34339824929998,3.0,economic
2003,topic_11,77.03691233427001,5.0,economic
2004,topic_11,92.33793520036993,8.0,economic
2005,topic_11,165.42749489822015,6.0,economic
2006,topic_11,289.47784675880985,4.0,economic
2007,topic_11,441.8185168479303,1.0,economic
2008,topic_11,1110.4653299215067,1.0,economic
2009,topic_11,980.0624058917726,1.0,economic
2010,topic_11,327.18684145184943,4.0,economic
2011,topic_11,385.2263226822601,3.0,economic
2012,topic_11,292.1871962694603,8.0,economic
2013,topic_11,172.91804249016994,18.0,economic
2014,topic_11,225.73121606445002,10.0,economic
2015,topic_11,239.0126913133,5.0,economic
2016,topic_11,263.46648674481986,6.0,economic
2017,topic_11,137.35795595929997,12.0,economic
2018,topic_11,40.95941093444002,19.0,economic
1999,topic_12,15.284814848959996,10.0,economic
2000,topic_12,81.14745676411003,8.0,economic
2001,topic_12,162.1912119032,4.0,economic
2002,topic_12,167.10414885841016,2.0,economic
2003,topic_12,55.968919152700025,8.0,economic
2004,topic_12,110.20814272433,6.0,economic
2005,topic_12,182.27143251001002,4.0,economic
2006,topic_12,184.90536449869992,7.0,economic
2007,topic_12,211.21730775489968,8.0,economic
2008,topic_12,583.815126477211,3.0,economic
2009,topic_12,823.791716334417,2.0,economic
2010,topic_12,388.84861481125637,2.0,economic
2011,topic_12,325.61103845421735,5.0,economic
2012,topic_12,389.2939423371463,3.0,economic
2013,topic_12,355.97790917648007,4.0,economic
2014,topic_12,313.1068082967747,3.0,economic
2015,topic_12,428.41190863175575,1.0,economic
2016,topic_12,551.8988472923004,2.0,economic
2017,topic_12,407.0647909034199,1.0,economic
2018,topic_12,106.52061372392002,10.0,economic
1999,topic_13,48.97565899684,1.0,economic
2000,topic_13,147.38782930311018,2.0,economic
2001,topic_13,199.33828961810025,1.0,economic
2002,topic_13,210.66004675425998,1.0,economic
2003,topic_13,100.59268181088997,2.0,economic
2004,topic_13,178.7660338159802,2.0,economic
2005,topic_13,326.99391337640003,1.0,economic
2006,topic_13,317.6232870308696,2.0,economic
2007,topic_13,294.6324301713003,4.0,economic
2008,topic_13,310.3283295164805,9.0,economic
2009,topic_13,340.4776445642698,9.0,economic
2010,topic_13,278.5451243872798,9.0,economic
2011,topic_13,247.63546331948018,10.0,economic
2012,topic_13,346.636550410858,6.0,economic
2013,topic_13,402.5760827540904,2.0,economic
2014,topic_13,308.39266608510616,6.0,economic
2015,topic_13,227.02656729198995,8.0,economic
2016,topic_13,298.4564526870549,5.0,economic
2017,topic_13,267.52680208855577,6.0,economic
2018,topic_13,174.99130807474583,4.0,economic
1999,topic_14,14.552455720499998,11.0,economic
2000,topic_14,61.05169763889998,11.0,economic
2001,topic_14,55.89365599679997,16.0,economic
2002,topic_14,40.57724837119999,17.0,economic
2003,topic_14,25.014576780386985,18.0,economic
2004,topic_14,62.04608251906001,13.0,economic
2005,topic_14,125.19609450370015,8.0,economic
2006,topic_14,261.8133281191002,5.0,economic
2007,topic_14,242.24434706960028,7.0,economic
2008,topic_14,307.28127007746974,11.0,economic
2009,topic_14,470.71826778572995,5.0,economic
2010,topic_14,353.25144097943974,3.0,economic
2011,topic_14,301.1867448135898,6.0,economic
2012,topic_14,312.6757602010003,7.0,economic
2013,topic_14,294.92766538292034,6.0,economic
2014,topic_14,312.9022751810957,4.0,economic
2015,topic_14,133.49083513076994,11.0,economic
2016,topic_14,95.47475983459992,14.0,economic
2017,topic_14,117.44793951853012,14.0,economic
2018,topic_14,146.5196465780999,6.0,economic
1999,topic_15,14.410478249079997,12.0,economic
2000,topic_15,103.29620423176998,5.0,economic
2001,topic_15,94.7025449969999,9.0,economic
2002,topic_15,78.24600646539994,10.0,economic
2003,topic_15,59.94275997754001,7.0,economic
2004,topic_15,117.31904514426,4.0,economic
2005,topic_15,86.05047853340001,15.0,economic
2006,topic_15,67.02856315569998,20.0,economic
2007,topic_15,82.00430947106001,19.0,economic
2008,topic_15,188.61649500369026,17.0,economic
2009,topic_15,124.36250876583007,20.0,economic
2010,topic_15,62.881832228619984,20.0,economic
2011,topic_15,87.01421264204998,19.0,economic
2012,topic_15,101.81533780216004,19.0,economic
2013,topic_15,59.52503677579996,20.0,economic
2014,topic_15,73.11276622497006,20.0,economic
2015,topic_15,193.91698401886012,9.0,economic
2016,topic_15,568.3139874200508,1.0,economic
2017,topic_15,221.80494052446997,7.0,economic
2018,topic_15,56.467667316726484,17.0,economic
1999,topic_16,11.331631674099999,15.0,economic
2000,topic_16,32.93322777840001,18.0,economic
2001,topic_16,59.30129327986995,14.0,economic
2002,topic_16,53.17204282724006,14.0,economic
2003,topic_16,33.741501797412006,15.0,economic
2004,topic_16,59.77494229609997,14.0,economic
2005,topic_16,118.57039950089995,10.0,economic
2006,topic_16,161.73693286675996,10.0,economic
2007,topic_16,153.49051746103993,12.0,economic
2008,topic_16,210.04836804628013,15.0,economic
2009,topic_16,177.79198353079994,18.0,economic
2010,topic_16,236.87112468791406,11.0,economic
2011,topic_16,239.68035497374964,11.0,economic
2012,topic_16,278.70958579968953,10.0,economic
2013,topic_16,236.10896757781975,13.0,economic
2014,topic_16,127.98464882030011,18.0,economic
2015,topic_16,70.53886288612003,14.0,economic
2016,topic_16,90.26440380165995,15.0,economic
2017,topic_16,84.28244086337001,17.0,economic
2018,topic_16,85.07340217815991,12.0,economic
1999,topic_17,9.580187728899997,17.0,economic
2000,topic_17,34.69266139659999,17.0,economic
2001,topic_17,26.791319733250024,19.0,economic
2002,topic_17,27.607941752800006,19.0,economic
2003,topic_17,23.6962050322,19.0,economic
2004,topic_17,37.79451824702002,18.0,economic
2005,topic_17,77.31150504391,18.0,economic
2006,topic_17,95.84361968729998,17.0,economic
2007,topic_17,140.6626001663301,14.0,economic
2008,topic_17,205.83356468727004,16.0,economic
2009,topic_17,147.68151930008995,19.0,economic
2010,topic_17,216.06977921899974,16.0,economic
2011,topic_17,220.91504765583997,13.0,economic
2012,topic_17,259.55182387636023,11.0,economic
2013,topic_17,223.17319235071975,15.0,economic
2014,topic_17,118.7335744642304,19.0,economic
2015,topic_17,38.279243601649995,18.0,economic
2016,topic_17,40.78496068009999,19.0,economic
2017,topic_17,54.870527168929996,19.0,economic
2018,topic_17,36.00775195664002,20.0,economic
1999,topic_18,6.8080063082,19.0,economic
2000,topic_18,28.4698634523,19.0,economic
2001,topic_18,41.146859879400004,18.0,economic
2002,topic_18,35.62247546720001,18.0,economic
2003,topic_18,34.061194597100005,13.0,economic
2004,topic_18,42.611967709599995,17.0,economic
2005,topic_18,64.0303348591,20.0,economic
2006,topic_18,90.21461646299998,18.0,economic
2007,topic_18,117.1853948799,18.0,economic
2008,topic_18,274.39017919847095,13.0,economic
2009,topic_18,224.20300136488515,14.0,economic
2010,topic_18,225.35444957079991,14.0,economic
2011,topic_18,277.44642284465,8.0,economic
2012,topic_18,246.98439178223012,12.0,economic
2013,topic_18,262.921297571432,11.0,economic
2014,topic_18,143.09082108510006,15.0,economic
2015,topic_18,21.827293356999984,20.0,economic
2016,topic_18,19.399453729700003,20.0,economic
2017,topic_18,93.30131602600005,16.0,economic
2018,topic_18,70.95232446294995,15.0,economic
1999,topic_19,39.35550400259999,2.0,economic
2000,topic_19,123.53925943773295,4.0,economic
2001,topic_19,142.82752223055,5.0,economic
2002,topic_19,130.14355335291006,6.0,economic
2003,topic_19,89.69498125784004,4.0,economic
2004,topic_19,152.70287908772983,3.0,economic
2005,topic_19,179.4233597566,5.0,economic
2006,topic_19,132.12683624985988,12.0,economic
2007,topic_19,120.91619139189996,17.0,economic
2008,topic_19,329.6906294655616,7.0,economic
2009,topic_19,322.4809942842003,10.0,economic
2010,topic_19,279.82341430847026,8.0,economic
2011,topic_19,390.29014523298014,2.0,economic
2012,topic_19,359.0489039177107,5.0,economic
2013,topic_19,251.08426338570777,12.0,economic
2014,topic_19,310.42586841160045,5.0,economic
2015,topic_19,364.8610888393763,2.0,economic
2016,topic_19,434.04347718062,3.0,economic
2017,topic_19,295.1937225061946,3.0,economic
2018,topic_19,194.00465749115926,3.0,economic
1999,topic_0,12.729126898999997,5.0,internet-i-smi
2000,topic_0,60.18452497497004,4.0,internet-i-smi
2001,topic_0,46.39644963950001,9.0,internet-i-smi
2002,topic_0,23.72921842485999,11.0,internet-i-smi
2003,topic_0,32.95527831309999,9.0,internet-i-smi
2004,topic_0,53.765410480800014,7.0,internet-i-smi
2005,topic_0,76.78137722026001,4.0,internet-i-smi
2006,topic_0,117.1409777243601,1.0,internet-i-smi
2007,topic_0,99.02360273104004,2.0,internet-i-smi
2008,topic_0,163.48568819439978,1.0,internet-i-smi
2009,topic_0,179.43006930050004,3.0,internet-i-smi
2010,topic_0,136.86669095657,5.0,internet-i-smi
2011,topic_0,109.44005404333004,11.0,internet-i-smi
2012,topic_0,94.11707075646491,16.0,internet-i-smi
2013,topic_0,107.72510346857008,12.0,internet-i-smi
2014,topic_0,78.82744266616997,11.0,internet-i-smi
2015,topic_0,81.78066016110007,12.0,internet-i-smi
2016,topic_0,69.98790258226998,17.0,internet-i-smi
2017,topic_0,27.251561693070013,20.0,internet-i-smi
2018,topic_0,17.675597247879995,18.0,internet-i-smi
1999,topic_1,17.132888024700005,3.0,internet-i-smi
2000,topic_1,93.33576860324987,2.0,internet-i-smi
2001,topic_1,216.2361352478008,1.0,internet-i-smi
2002,topic_1,93.99652637061601,3.0,internet-i-smi
2003,topic_1,76.45142891109997,3.0,internet-i-smi
2004,topic_1,56.000055722000006,6.0,internet-i-smi
2005,topic_1,74.71812480143998,5.0,internet-i-smi
2006,topic_1,73.74057189477989,11.0,internet-i-smi
2007,topic_1,69.77103646589998,10.0,internet-i-smi
2008,topic_1,75.46709709219395,15.0,internet-i-smi
2009,topic_1,91.28649927963001,15.0,internet-i-smi
2010,topic_1,117.69426717971997,10.0,internet-i-smi
2011,topic_1,95.67642943845951,15.0,internet-i-smi
2012,topic_1,111.06463028758013,14.0,internet-i-smi
2013,topic_1,91.41229543756597,15.0,internet-i-smi
2014,topic_1,61.59355237551998,15.0,internet-i-smi
2015,topic_1,61.305199588606015,16.0,internet-i-smi
2016,topic_1,63.430206587040004,18.0,internet-i-smi
2017,topic_1,57.16573927080003,16.0,internet-i-smi
2018,topic_1,24.359898587599993,17.0,internet-i-smi
1999,topic_2,3.7335611058,18.0,internet-i-smi
2000,topic_2,24.030523877700013,16.0,internet-i-smi
2001,topic_2,19.4541196262,20.0,internet-i-smi
2002,topic_2,15.596804035750004,18.0,internet-i-smi
2003,topic_2,30.32285190989999,10.0,internet-i-smi
2004,topic_2,30.73680325329998,13.0,internet-i-smi
2005,topic_2,41.10076224589703,14.0,internet-i-smi
2006,topic_2,55.56384618034999,16.0,internet-i-smi
2007,topic_2,60.64168189529996,13.0,internet-i-smi
2008,topic_2,74.95551127232298,16.0,internet-i-smi
2009,topic_2,99.0881991201,13.0,internet-i-smi
2010,topic_2,72.84793437304992,16.0,internet-i-smi
2011,topic_2,127.97851397279013,9.0,internet-i-smi
2012,topic_2,142.76855100666782,10.0,internet-i-smi
2013,topic_2,95.77391934063999,13.0,internet-i-smi
2014,topic_2,31.091832780339978,20.0,internet-i-smi
2015,topic_2,50.758951405400026,17.0,internet-i-smi
2016,topic_2,114.62202877406992,11.0,internet-i-smi
2017,topic_2,109.89950121708995,11.0,internet-i-smi
2018,topic_2,76.47612109490007,10.0,internet-i-smi
1999,topic_3,16.504201133000002,4.0,internet-i-smi
2000,topic_3,48.89985409877001,8.0,internet-i-smi
2001,topic_3,44.791736396459996,10.0,internet-i-smi
2002,topic_3,25.757609274400007,10.0,internet-i-smi
2003,topic_3,27.117879432999988,14.0,internet-i-smi
2004,topic_3,36.47813832385,9.0,internet-i-smi
2005,topic_3,47.19194454264001,11.0,internet-i-smi
2006,topic_3,78.1071635706,10.0,internet-i-smi
2007,topic_3,60.4846732437,14.0,internet-i-smi
2008,topic_3,91.17822167162997,12.0,internet-i-smi
2009,topic_3,147.41273488137006,4.0,internet-i-smi
2010,topic_3,183.9971406100551,2.0,internet-i-smi
2011,topic_3,176.02274528254014,3.0,internet-i-smi
2012,topic_3,132.64322033470003,12.0,internet-i-smi
2013,topic_3,79.82663259986997,16.0,internet-i-smi
2014,topic_3,116.38959323436002,9.0,internet-i-smi
2015,topic_3,105.41329245177006,7.0,internet-i-smi
2016,topic_3,109.02556757861689,14.0,internet-i-smi
2017,topic_3,58.86929390287,15.0,internet-i-smi
2018,topic_3,29.549342396500005,15.0,internet-i-smi
1999,topic_4,33.604738482500004,1.0,internet-i-smi
2000,topic_4,92.72050160669995,3.0,internet-i-smi
2001,topic_4,85.83833644914996,4.0,internet-i-smi
2002,topic_4,103.40343771299986,2.0,internet-i-smi
2003,topic_4,73.4787100653001,5.0,internet-i-smi
2004,topic_4,74.64074116506,3.0,internet-i-smi
2005,topic_4,113.95262338370065,1.0,internet-i-smi
2006,topic_4,111.26848011342003,3.0,internet-i-smi
2007,topic_4,70.08803237280001,9.0,internet-i-smi
2008,topic_4,99.30169120349993,9.0,internet-i-smi
2009,topic_4,100.35448042525005,11.0,internet-i-smi
2010,topic_4,104.57297254541996,13.0,internet-i-smi
2011,topic_4,101.99282112324,13.0,internet-i-smi
2012,topic_4,150.07413505756992,9.0,internet-i-smi
2013,topic_4,194.24941343530023,5.0,internet-i-smi
2014,topic_4,129.21864962820007,6.0,internet-i-smi
2015,topic_4,111.06615511127995,5.0,internet-i-smi
2016,topic_4,142.08354399945,9.0,internet-i-smi
