year,Topic,rate,rank,Rubric
1999,topic_5,8.0821894006,13.0,bivs-SSR
2000,topic_5,29.817689130799984,10.0,bivs-SSR
2001,topic_5,57.75185990099999,7.0,bivs-SSR
2002,topic_5,64.26042052030003,8.0,bivs-SSR
2003,topic_5,41.01315158350001,12.0,bivs-SSR
2004,topic_5,113.72751832985999,7.0,bivs-SSR
2005,topic_5,191.78945559829987,7.0,bivs-SSR
2006,topic_5,147.52568286643498,12.0,bivs-SSR
2007,topic_5,105.66729067689994,18.0,bivs-SSR
2008,topic_5,170.01146169840015,12.0,bivs-SSR
2009,topic_5,157.78044343103974,14.0,bivs-SSR
2010,topic_5,93.35725818271997,18.0,bivs-SSR
2011,topic_5,81.73893461376397,18.0,bivs-SSR
2012,topic_5,79.77678790645997,18.0,bivs-SSR
2013,topic_5,87.1749877326,17.0,bivs-SSR
2014,topic_5,147.1401699787101,16.0,bivs-SSR
2015,topic_5,82.37786384277992,16.0,bivs-SSR
2016,topic_5,130.93723785710006,15.0,bivs-SSR
2017,topic_5,103.99174176343003,15.0,bivs-SSR
2018,topic_5,51.50006896040006,13.0,bivs-SSR
1999,topic_6,11.215438330000001,9.0,bivs-SSR
2000,topic_6,26.238953589000005,17.0,bivs-SSR
2001,topic_6,50.8057222377,9.0,bivs-SSR
2002,topic_6,39.031245977040015,14.0,bivs-SSR
2003,topic_6,22.794799980629993,18.0,bivs-SSR
2004,topic_6,64.88320453917008,13.0,bivs-SSR
2005,topic_6,187.76850605100984,8.0,bivs-SSR
2006,topic_6,201.34359115605008,6.0,bivs-SSR
2007,topic_6,145.00792967025586,15.0,bivs-SSR
2008,topic_6,143.46651482057007,16.0,bivs-SSR
2009,topic_6,127.01536775155995,19.0,bivs-SSR
2010,topic_6,124.36165018166598,16.0,bivs-SSR
2011,topic_6,156.8770247847202,10.0,bivs-SSR
2012,topic_6,150.7473436561251,13.0,bivs-SSR
2013,topic_6,101.04528057312999,16.0,bivs-SSR
2014,topic_6,65.92361007833595,18.0,bivs-SSR
2015,topic_6,47.196106433827,19.0,bivs-SSR
2016,topic_6,58.63113422206998,19.0,bivs-SSR
2017,topic_6,72.17363724156999,17.0,bivs-SSR
2018,topic_6,18.680180203199992,19.0,bivs-SSR
1999,topic_7,11.120225822210001,11.0,bivs-SSR
2000,topic_7,97.17730746390001,3.0,bivs-SSR
2001,topic_7,112.47196097040406,3.0,bivs-SSR
2002,topic_7,105.56961417050009,4.0,bivs-SSR
2003,topic_7,76.33220499033997,5.0,bivs-SSR
2004,topic_7,102.00826830549997,8.0,bivs-SSR
2005,topic_7,139.6043970273,10.0,bivs-SSR
2006,topic_7,122.69327302571408,15.0,bivs-SSR
2007,topic_7,180.03412382669984,12.0,bivs-SSR
2008,topic_7,208.25940086551984,7.0,bivs-SSR
2009,topic_7,211.70664923198467,9.0,bivs-SSR
2010,topic_7,180.58275476040012,12.0,bivs-SSR
2011,topic_7,177.03606249981985,8.0,bivs-SSR
2012,topic_7,159.83738962644398,12.0,bivs-SSR
2013,topic_7,156.2729263047802,11.0,bivs-SSR
2014,topic_7,238.99651027031408,10.0,bivs-SSR
2015,topic_7,184.33651888205998,12.0,bivs-SSR
2016,topic_7,181.77009137976393,13.0,bivs-SSR
2017,topic_7,166.30442501546017,13.0,bivs-SSR
2018,topic_7,47.96447003820002,14.0,bivs-SSR
1999,topic_8,6.5000418142,14.0,bivs-SSR
2000,topic_8,28.46627542321999,12.0,bivs-SSR
2001,topic_8,25.897492554829988,19.0,bivs-SSR
2002,topic_8,30.25981690289998,16.0,bivs-SSR
2003,topic_8,39.57751258107006,14.0,bivs-SSR
2004,topic_8,69.95923616208,12.0,bivs-SSR
2005,topic_8,118.20777712421099,16.0,bivs-SSR
2006,topic_8,172.40237752778367,9.0,bivs-SSR
2007,topic_8,172.40521587187823,13.0,bivs-SSR
2008,topic_8,139.17403766970003,17.0,bivs-SSR
2009,topic_8,145.76902956623476,15.0,bivs-SSR
2010,topic_8,149.20485100013994,15.0,bivs-SSR
2011,topic_8,116.50333716550006,16.0,bivs-SSR
2012,topic_8,145.02759528269002,14.0,bivs-SSR
2013,topic_8,135.18510847637194,14.0,bivs-SSR
2014,topic_8,321.87172859525947,6.0,bivs-SSR
2015,topic_8,221.79261308402977,7.0,bivs-SSR
2016,topic_8,404.57610933302027,5.0,bivs-SSR
2017,topic_8,283.81086426750977,5.0,bivs-SSR
2018,topic_8,105.60271540370009,5.0,bivs-SSR
1999,topic_9,21.303698288100005,1.0,bivs-SSR
2000,topic_9,160.62401588820006,1.0,bivs-SSR
2001,topic_9,213.19291751839978,1.0,bivs-SSR
2002,topic_9,217.8982340696,2.0,bivs-SSR
2003,topic_9,134.25993648220015,1.0,bivs-SSR
2004,topic_9,135.28838009340012,5.0,bivs-SSR
2005,topic_9,184.32525891517022,9.0,bivs-SSR
2006,topic_9,202.18220214199994,5.0,bivs-SSR
2007,topic_9,250.87295039039984,3.0,bivs-SSR
2008,topic_9,299.60537026454006,4.0,bivs-SSR
2009,topic_9,434.0203765043127,1.0,bivs-SSR
2010,topic_9,441.4813235824803,1.0,bivs-SSR
2011,topic_9,279.84418419635017,2.0,bivs-SSR
2012,topic_9,286.70724899087014,2.0,bivs-SSR
2013,topic_9,341.7031497166298,1.0,bivs-SSR
2014,topic_9,237.54335014703977,11.0,bivs-SSR
2015,topic_9,206.79803150770002,9.0,bivs-SSR
2016,topic_9,264.1484150823197,10.0,bivs-SSR
2017,topic_9,214.9764423932203,10.0,bivs-SSR
2018,topic_9,91.252325875596,7.0,bivs-SSR
1999,topic_10,13.528044435984999,5.0,bivs-SSR
2000,topic_10,62.07234857309996,5.0,bivs-SSR
2001,topic_10,97.71688209749996,4.0,bivs-SSR
2002,topic_10,98.54203208944696,5.0,bivs-SSR
2003,topic_10,63.77981690790003,6.0,bivs-SSR
2004,topic_10,114.35996962329996,6.0,bivs-SSR
2005,topic_10,263.40729236151,2.0,bivs-SSR
2006,topic_10,200.26050064782,7.0,bivs-SSR
2007,topic_10,237.6233259164602,5.0,bivs-SSR
2008,topic_10,252.97299361706993,5.0,bivs-SSR
2009,topic_10,280.48586376888534,4.0,bivs-SSR
2010,topic_10,271.9867043122797,4.0,bivs-SSR
2011,topic_10,288.90226245826983,1.0,bivs-SSR
2012,topic_10,244.01817822598963,5.0,bivs-SSR
2013,topic_10,210.06320877987977,6.0,bivs-SSR
2014,topic_10,319.8228957534639,7.0,bivs-SSR
2015,topic_10,294.4817093067972,5.0,bivs-SSR
2016,topic_10,403.2684582985965,6.0,bivs-SSR
2017,topic_10,278.4732594180994,6.0,bivs-SSR
2018,topic_10,110.82051465310003,3.0,bivs-SSR
1999,topic_11,6.498996385899999,15.0,bivs-SSR
2000,topic_11,26.936842872600007,15.0,bivs-SSR
2001,topic_11,44.96325300172003,13.0,bivs-SSR
2002,topic_11,45.71094519498,11.0,bivs-SSR
2003,topic_11,33.04773456670001,16.0,bivs-SSR
